time_ms,roll_cdeg,pitch_cdeg,yaw_cdeg,alt_mm,top_pwm,bottom_pwm,roll_pwm,pitch_pwm,motors_enabled,uart_rx_errors,uart_rx_overflows,uart_bad_lines,telemetry_overrun,stop_reason
583200,-106,12,12,352,700,700,1125,1125,0,0,0,0,0,4
583220,-106,12,12,352,700,700,1125,1125,0,0,0,0,0,4
583240,-112,12,12,352,700,700,1125,1125,0,0,0,0,0,4
583260,-112,12,12,352,700,700,1125,1125,0,0,0,0,0,4
583280,-112,12,12,352,700,700,1125,1125,0,0,0,0,0,4
583300,-112,12,12,352,700,700,1125,1125,0,0,0,0,0,4
583320,-112,12,12,352,700,700,1125,1125,0,0,0,0,0,4
583340,-112,12,12,352,700,700,1125,1125,0,0,0,0,0,4
583360,-112,12,12,352,700,700,1125,1125,0,0,0,0,0,4
583380,-112,12,12,352,700,700,1125,1125,0,0,0,0,0,4
583400,-112,12,12,352,700,700,1125,1125,0,0,0,0,0,4
583420,-112,12,12,352,700,700,1125,1125,0,0,0,0,0,4
583440,-112,12,12,352,700,700,1125,1125,0,0,0,0,0,4
583460,-112,12,12,352,700,700,1125,1125,1,0,0,0,0,4
583480,-112,12,12,352,700,700,1125,1125,1,0,0,0,0,4
583500,-112,12,12,352,1050,1050,1225,1125,1,0,0,0,0,4
583520,-112,12,12,352,1050,1050,1225,1125,1,0,0,0,0,4
583540,-112,12,12,352,1050,1050,1225,1125,1,0,0,0,0,4
583560,-112,12,6,352,1050,1050,1225,1125,1,0,0,0,0,4
583580,-106,18,12,352,1050,1050,1225,1125,1,0,0,0,0,4
583600,-106,12,12,352,1050,1050,1225,1125,1,0,0,0,0,4
583620,-106,12,12,352,1050,1050,1225,1125,1,0,0,0,0,4
583640,-106,12,12,352,1050,1050,1225,1125,1,0,0,0,0,4
583660,-106,12,12,352,1050,1050,1225,1125,1,0,0,0,0,4
583680,-106,12,12,352,1050,1050,1225,1125,1,0,0,0,0,4
583700,-106,12,12,352,1050,1050,1225,1125,1,0,0,0,0,4
583720,-106,12,12,352,1050,1050,1225,1125,1,0,0,0,0,4
583740,-112,12,18,352,1050,1050,1225,1125,1,0,0,0,0,4
583760,-106,12,12,352,1050,1050,1225,1125,1,0,0,0,0,4
583780,-106,12,12,352,1050,1050,1225,1125,1,0,0,0,0,4
583800,-112,12,6,352,1050,1050,1225,1125,1,0,0,0,0,4
