time_ms,roll_cdeg,pitch_cdeg,yaw_cdeg,alt_mm,top_pwm,bottom_pwm,roll_pwm,pitch_pwm,motors_enabled,uart_rx_errors,uart_rx_overflows,uart_bad_lines,telemetry_overrun,stop_reason
20,-6,31,18,0,700,700,1125,1125,0,0,0,0,0,4
40,-6,31,18,0,700,700,1125,1125,0,0,0,0,0,4
60,-6,37,18,337,700,700,1125,1125,0,0,0,0,0,4
80,-6,37,18,337,700,700,1125,1125,0,0,0,0,0,4
100,-6,37,18,337,700,700,1125,1125,0,0,0,0,0,4
120,-6,37,18,337,700,700,1125,1125,1,0,0,0,0,4
140,-6,37,18,337,700,700,1125,1125,1,0,0,0,0,4
160,-6,37,18,337,1050,1050,1225,1125,1,0,0,0,0,4
180,-6,37,18,339,1050,1050,1225,1125,1,0,0,0,0,4
200,-6,37,18,339,1050,1050,1225,1125,1,0,0,0,0,4
220,-6,31,18,339,1050,1050,1225,1125,1,0,0,0,0,4
240,-6,31,18,339,1050,1050,1225,1125,1,0,0,0,0,4
260,-6,31,18,339,1050,1050,1225,1125,1,0,0,0,0,4
280,-6,31,18,339,1050,1050,1225,1125,1,0,0,0,0,4
300,-6,31,18,339,1050,1050,1225,1125,1,0,0,0,0,4
320,-6,31,18,339,1050,1050,1225,1125,1,0,0,0,0,4
340,-6,31,18,339,1050,1050,1225,1125,1,0,0,0,0,4
360,-6,31,18,339,1050,1050,1225,1125,1,0,0,0,0,4
380,-6,25,25,338,1050,1050,1225,1125,1,0,0,0,0,4
400,-6,25,18,338,1050,1050,1225,1125,1,0,0,0,0,4
420,-6,25,18,338,1050,1050,1225,1125,1,0,0,0,0,4
440,-6,25,12,338,1050,1050,1225,1125,1,0,0,0,0,4
460,-6,25,12,338,1050,1050,1225,1125,1,0,0,0,0,4
480,-6,25,12,338,1050,1050,1225,1125,1,0,0,0,0,4
500,-6,25,12,338,1050,1050,1225,1125,1,0,0,0,0,4
520,-6,25,18,338,1050,1050,1225,1125,1,0,0,0,0,4
540,-6,18,18,338,1050,1050,1225,1125,1,0,0,0,0,4
560,-6,18,18,338,1050,1050,1225,1125,1,0,0,0,0,4
580,0,25,12,338,1050,1050,1225,1125,1,0,0,0,0,4
600,0,25,12,338,1050,1050,1225,1125,1,0,0,0,0,4
620,0,25,6,339,1050,1050,1225,1125,1,0,0,0,0,4
640,0,25,12,339,1050,1050,1125,1125,1,0,0,0,0,4
660,0,25,12,339,1050,1050,1125,1125,1,0,0,0,0,4
680,0,18,25,336,1050,1050,1125,1125,1,0,0,0,0,4
